Name: Tonar Street, Instruction: Head southeast on Tonar Street, Distance: 29.4 meters, Time: 21.2 seconds
Name: Koeke Road, Instruction: Turn right onto Koeke Road, Distance: 104.2 meters, Time: 75.0 seconds
Name: Whakamua Parade, Instruction: Turn right onto Whakamua Parade, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: Richardson Place, Instruction: Turn left onto Richardson Place, Distance: 51.5 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Fraser Avenue, Instruction: Turn right onto Fraser Avenue, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Keep right, Distance: 348.3 meters, Time: 250.8 seconds
Name: -, Instruction: Turn slight left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
