Name: Joo Koon Crescent, Instruction: Head west on Joo Koon Crescent, Distance: 826.1 meters, Time: 594.7 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn slight left, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn right, Distance: 81.7 meters, Time: 58.8 seconds
Name: Gul Way, Instruction: Turn left onto Gul Way, Distance: 759.5 meters, Time: 546.8 seconds
Name: Gul Avenue, Instruction: Turn right onto Gul Avenue, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
