Name: Lawrence Avenue East, Instruction: Head east on Lawrence Avenue East, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 447.6 meters, Time: 322.3 seconds
Name: Paperbirch Walkway, Instruction: Turn right onto Paperbirch Walkway, Distance: 196.9 meters, Time: 141.8 seconds
Name: Paperbirch Walkway, Instruction: Turn left onto Paperbirch Walkway, Distance: 43.5 meters, Time: 31.3 seconds
Name: Sanderling Place, Instruction: Turn right onto Sanderling Place, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 336.4 meters, Time: 242.2 seconds
Name: -, Instruction: Turn right, Distance: 207.5 meters, Time: 149.4 seconds
Name: Cottonwood Drive, Instruction: Turn left onto Cottonwood Drive, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
