Name: Rue Gauthey, Instruction: Head southwest on Rue Gauthey, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 45.7 meters, Time: 32.9 seconds
Name: Rue René Blum, Instruction: Turn right onto Rue René Blum, Distance: 116.5 meters, Time: 83.9 seconds
Name: Allée André François Bron De Bailly, Instruction: Turn left onto Allée André François Bron De Bailly, Distance: 6.1 meters, Time: 4.4 seconds
Name: Allée André François Bron De Bailly, Instruction: Keep right onto Allée André François Bron De Bailly, Distance: 334.0 meters, Time: 240.5 seconds
Name: Rue Mère Teresa, Instruction: Turn slight left onto Rue Mère Teresa, Distance: 181.7 meters, Time: 130.8 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: Rue Mère Teresa, Instruction: Turn left onto Rue Mère Teresa, Distance: 33.1 meters, Time: 23.9 seconds
Name: Rue Severiano de Heredia, Instruction: Turn right onto Rue Severiano de Heredia, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Keep left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 268.8 meters, Time: 193.5 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Keep left, Distance: 60.2 meters, Time: 43.3 seconds
Name: Rue Juliette Lamber, Instruction: Turn right onto Rue Juliette Lamber, Distance: 179.8 meters, Time: 129.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
