Name: Wardell Street, Instruction: Head west on Wardell Street, Distance: 5.2 meters, Time: 3.8 seconds
Name: De Grassi Street, Instruction: Turn left onto De Grassi Street, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 46.1 meters, Time: 33.2 seconds
Name: Boulton Avenue, Instruction: Turn left onto Boulton Avenue, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 707.1 meters, Time: 509.1 seconds
Name: -, Instruction: Keep left, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Turn left, Distance: 216.5 meters, Time: 155.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Lawren Harris Square, Instruction: Turn left onto Lawren Harris Square, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
