Name: شارع فرج فضه, Instruction: Head northwest on شارع فرج فضه, Distance: 133.0 meters, Time: 95.8 seconds
Name: حارة حبيشه, Instruction: Turn left onto حارة حبيشه, Distance: 92.8 meters, Time: 66.8 seconds
Name: شارع محمد عبده, Instruction: Turn right onto شارع محمد عبده, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 123.3 meters, Time: 88.7 seconds
Name: -, Instruction: Turn right, Distance: 79.9 meters, Time: 57.5 seconds
Name: -, Instruction: Turn slight left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Turn slight left, Distance: 48.7 meters, Time: 35.0 seconds
Name: شارع صالح الجعفري, Instruction: Turn slight right onto شارع صالح الجعفري, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn left, Distance: 281.4 meters, Time: 202.6 seconds
Name: شارع جوهر القائد, Instruction: Turn right onto شارع جوهر القائد, Distance: 37.5 meters, Time: 27.0 seconds
Name: شارع المنصوريه, Instruction: Turn left onto شارع المنصوريه, Distance: 9.4 meters, Time: 6.8 seconds
Name: شارع المنصوريه, Instruction: Turn slight right onto شارع المنصوريه, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 137.8 meters, Time: 99.2 seconds
Name: -, Instruction: Keep left, Distance: 89.5 meters, Time: 64.5 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn slight left, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 52.3 meters, Time: 37.6 seconds
Name: -, Instruction: Turn left, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn right, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 172.5 meters, Time: 124.2 seconds
Name: -, Instruction: Turn right, Distance: 49.7 meters, Time: 35.8 seconds
Name: Royal Palm Promenade, Instruction: Turn left onto Royal Palm Promenade, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
