Name: Terminus Street, Instruction: Head northeast on Terminus Street, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 874.1 meters, Time: 629.4 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 114.9 meters, Time: 82.7 seconds
Name: Clarke Drive, Instruction: Turn right onto Clarke Drive, Distance: 19.5 meters, Time: 14.0 seconds
Name: James Cook Drive, Instruction: Enter the roundabout and take the 1st exit onto James Cook Drive, Distance: 90.3 meters, Time: 65.0 seconds
Name: James Cook Drive, Instruction: Keep left onto James Cook Drive, Distance: 489.8 meters, Time: 352.7 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
