Name: شارع لطيف باشا, Instruction: Head east on شارع لطيف باشا, Distance: 5.8 meters, Time: 4.2 seconds
Name: شارع احمد راغب باشا, Instruction: Turn left onto شارع احمد راغب باشا, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Keep left, Distance: 177.9 meters, Time: 128.1 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: شارع برهان, Instruction: Turn left onto شارع برهان, Distance: 246.1 meters, Time: 177.2 seconds
Name: شارع ثابت باشا, Instruction: Turn right onto شارع ثابت باشا, Distance: 105.3 meters, Time: 75.8 seconds
Name: شارع لاظوغلي, Instruction: Turn left onto شارع لاظوغلي, Distance: 854.5 meters, Time: 615.2 seconds
Name: شارع عاطف البرقوقي, Instruction: Turn right onto شارع عاطف البرقوقي, Distance: 188.4 meters, Time: 135.7 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: شارع عاطف البرقوقي, Instruction: Turn right onto شارع عاطف البرقوقي, Distance: 98.0 meters, Time: 70.5 seconds
Name: -, Instruction: Turn left, Distance: 84.7 meters, Time: 61.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
