Name: Rue Gabriel Péri, D 50, Instruction: Head west on Rue Gabriel Péri, D 50, Distance: 29.8 meters, Time: 21.4 seconds
Name: Passage du Petit Vanves, Instruction: Turn right onto Passage du Petit Vanves, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 169.3 meters, Time: 121.9 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Rue Voltaire, Instruction: Turn left onto Rue Voltaire, Distance: 339.3 meters, Time: 244.3 seconds
Name: Rue Chauvelot, Instruction: Turn right onto Rue Chauvelot, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn slight right, Distance: 229.4 meters, Time: 165.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.4 meters, Time: 1.0 seconds
Name: Avenue Georges Lafenestre, Instruction: Turn sharp right onto Avenue Georges Lafenestre, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
