Name: Canalettostraße, Instruction: Head east on Canalettostraße, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: Böcklinstraße, Instruction: Turn slight right onto Böcklinstraße, Distance: 428.3 meters, Time: 308.4 seconds
Name: -, Instruction: Turn left, Distance: 75.5 meters, Time: 54.4 seconds
Name: Malsenstraße, Instruction: Turn left onto Malsenstraße, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
