Name: Rosenheimer Straße, Instruction: Head east on Rosenheimer Straße, Distance: 129.1 meters, Time: 92.9 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Keep left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Keep left, Distance: 89.8 meters, Time: 64.7 seconds
Name: Preysingstraße, Instruction: Turn right onto Preysingstraße, Distance: 221.0 meters, Time: 159.1 seconds
Name: Preysingplatz, Instruction: Continue straight onto Preysingplatz, Distance: 78.1 meters, Time: 56.2 seconds
Name: Preysingstraße, Instruction: Continue straight onto Preysingstraße, Distance: 592.7 meters, Time: 426.7 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 247.6 meters, Time: 178.3 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 255.5 meters, Time: 184.0 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
