Name: William Street, Instruction: Head west on William Street, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: Galbraith Walkway, Instruction: Turn right onto Galbraith Walkway, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Continue straight, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: Cross Street, Instruction: Turn left onto Cross Street, Distance: 107.2 meters, Time: 77.2 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Kiaora Road, Instruction: Turn right onto Kiaora Road, Distance: 292.0 meters, Time: 210.3 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: Epping Road, Instruction: Turn left onto Epping Road, Distance: 408.6 meters, Time: 294.2 seconds
Name: Manning Road, Instruction: Enter the roundabout and take the 1st exit onto Manning Road, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 401.4 meters, Time: 289.0 seconds
Name: Russell Street, Instruction: Turn right onto Russell Street, Distance: 91.0 meters, Time: 65.5 seconds
Name: Russell Street, Instruction: Turn left onto Russell Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 90.9 meters, Time: 65.5 seconds
Name: -, Instruction: Turn slight left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Magney Street, Instruction: Turn left onto Magney Street, Distance: 113.2 meters, Time: 81.5 seconds
Name: Edgecliff Road, Instruction: Turn left onto Edgecliff Road, Distance: 31.3 meters, Time: 22.5 seconds
Name: Vernon Street, Instruction: Turn sharp right onto Vernon Street, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
