Name: Mozartstraße, Instruction: Head northwest on Mozartstraße, Distance: 957.2 meters, Time: 689.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 323.8 meters, Time: 233.2 seconds
Name: -, Instruction: Turn right, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Keep right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 411.7 meters, Time: 296.4 seconds
Name: -, Instruction: Turn left, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Keep left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Continue straight, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
