Name: Hawke Place, Instruction: Head south on Hawke Place, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn right, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Keep left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn slight left, Distance: 367.0 meters, Time: 264.2 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 300.7 meters, Time: 216.5 seconds
Name: -, Instruction: Turn right, Distance: 327.8 meters, Time: 236.0 seconds
Name: -, Instruction: Turn right, Distance: 264.4 meters, Time: 190.4 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep right, Distance: 667.8 meters, Time: 480.8 seconds
Name: -, Instruction: Turn left, Distance: 152.7 meters, Time: 109.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
