Name: Lorong Kismis, Instruction: Head east on Lorong Kismis, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 655.6 meters, Time: 472.0 seconds
Name: Toh Tuck Place, Instruction: Turn right onto Toh Tuck Place, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 535.8 meters, Time: 385.8 seconds
Name: -, Instruction: Turn right, Distance: 282.2 meters, Time: 203.2 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn slight right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 586.7 meters, Time: 422.4 seconds
Name: Ulu Pandan Park Connector, Instruction: Turn left onto Ulu Pandan Park Connector, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: Bukit Batok East Avenue 3, Instruction: Turn sharp right onto Bukit Batok East Avenue 3, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Arrive at Bukit Batok East Avenue 3, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
