Name: Alpenrosenstraße, Instruction: Head north on Alpenrosenstraße, Distance: 57.5 meters, Time: 41.4 seconds
Name: Falkenstraße, Instruction: Turn right onto Falkenstraße, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 171.2 meters, Time: 123.3 seconds
Name: -, Instruction: Keep right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 333.6 meters, Time: 240.2 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: Jahnstraße, Instruction: Turn right onto Jahnstraße, Distance: 49.7 meters, Time: 35.8 seconds
Name: Bürgermeister-Wild-Straße, Instruction: Turn left onto Bürgermeister-Wild-Straße, Distance: 1021.4 meters, Time: 735.4 seconds
Name: -, Instruction: Keep right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 129.3 meters, Time: 93.1 seconds
Name: -, Instruction: Keep right, Distance: 62.7 meters, Time: 45.1 seconds
Name: Bahnhofsplatz, Instruction: Turn left onto Bahnhofsplatz, Distance: 159.5 meters, Time: 114.8 seconds
Name: Rathausplatz, Instruction: Turn right onto Rathausplatz, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Arrive at Rathausplatz, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
