Name: Teck Whye Lane, Instruction: Head southeast on Teck Whye Lane, Distance: 420.7 meters, Time: 302.9 seconds
Name: -, Instruction: Turn right, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 148.0 meters, Time: 106.5 seconds
Name: -, Instruction: Turn slight right, Distance: 412.9 meters, Time: 297.3 seconds
Name: -, Instruction: Turn left, Distance: 84.7 meters, Time: 61.0 seconds
Name: Pang Sua Park Connector, Instruction: Continue straight onto Pang Sua Park Connector, Distance: 131.1 meters, Time: 94.4 seconds
Name: Pang Sua Park Connector, Instruction: Turn right onto Pang Sua Park Connector, Distance: 12.4 meters, Time: 8.9 seconds
Name: Pang Sua Park Connector, Instruction: Turn left onto Pang Sua Park Connector, Distance: 73.6 meters, Time: 53.0 seconds
Name: Pang Sua Park Connector, Instruction: Turn right onto Pang Sua Park Connector, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Continue straight, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 50.1 meters, Time: 36.1 seconds
Name: -, Instruction: Turn right, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Keep left, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: CPN, Instruction: Turn right onto CPN, Distance: 45.1 meters, Time: 32.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 409.3 meters, Time: 294.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 103.4 meters, Time: 74.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
