Name: Rue Violet, Instruction: Head southwest on Rue Violet, Distance: 7.6 meters, Time: 5.5 seconds
Name: Passage des Écoliers, Instruction: Turn left onto Passage des Écoliers, Distance: 151.6 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 101.6 meters, Time: 73.2 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 164.9 meters, Time: 118.8 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Rue des Frères Morane, Instruction: Turn right onto Rue des Frères Morane, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 155.1 meters, Time: 111.7 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight right, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: Rue Firmin Gillot, Instruction: Turn left onto Rue Firmin Gillot, Distance: 285.9 meters, Time: 205.8 seconds
Name: Rue Lefebvre, Instruction: Turn right onto Rue Lefebvre, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn slight left, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn slight right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 119.4 meters, Time: 85.9 seconds
Name: -, Instruction: Turn slight left, Distance: 74.4 meters, Time: 53.6 seconds
Name: Rue Thureau-Dangin, Instruction: Turn right onto Rue Thureau-Dangin, Distance: 12.1 meters, Time: 8.7 seconds
Name: Avenue Albert Bartholomé, Instruction: Turn left onto Avenue Albert Bartholomé, Distance: 51.9 meters, Time: 37.4 seconds
Name: Rue du Général Guillaumat, Instruction: Turn sharp right onto Rue du Général Guillaumat, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
