Name: Lion Way, Instruction: Head northeast on Lion Way, Distance: 244.9 meters, Time: 176.4 seconds
Name: Half Acre, A3002, Instruction: Turn left onto Half Acre, A3002, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Back Lane, Instruction: Turn right onto Back Lane, Distance: 87.1 meters, Time: 62.7 seconds
Name: Albany Road, Instruction: Turn left onto Albany Road, Distance: 366.7 meters, Time: 264.0 seconds
Name: -, Instruction: Turn left, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: Ealing Road, Instruction: Turn right onto Ealing Road, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Continue straight, Distance: 26.7 meters, Time: 19.2 seconds
Name: Walnut Tree Road, Instruction: Continue straight onto Walnut Tree Road, Distance: 22.5 meters, Time: 16.2 seconds
Name: Trimmer Walk, Instruction: Continue straight onto Trimmer Walk, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Keep right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Netley Road, Instruction: Turn right onto Netley Road, Distance: 221.7 meters, Time: 159.6 seconds
Name: Green Dragon Lane, Instruction: Turn right onto Green Dragon Lane, Distance: 21.4 meters, Time: 15.4 seconds
Name: Clayponds Lane, Instruction: Turn left onto Clayponds Lane, Distance: 166.9 meters, Time: 120.1 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 334.4 meters, Time: 240.8 seconds
Name: Lionel Road North, Instruction: Turn left onto Lionel Road North, Distance: 22.7 meters, Time: 16.4 seconds
Name: Lionel Road North, Instruction: Continue straight onto Lionel Road North, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Turn slight right, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Keep right, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
