Name: Bentinck Drive, Instruction: Head east on Bentinck Drive, Distance: 227.9 meters, Time: 164.1 seconds
Name: -, Instruction: Turn right, Distance: 120.8 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 615.5 meters, Time: 443.2 seconds
Name: -, Instruction: Keep right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Continue straight, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Continue straight, Distance: 272.5 meters, Time: 196.2 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 129.8 meters, Time: 93.4 seconds
Name: -, Instruction: Turn right, Distance: 305.3 meters, Time: 219.8 seconds
Name: Emu Avenue, Instruction: Turn left onto Emu Avenue, Distance: 45.5 meters, Time: 32.7 seconds
Name: Robin Street, Instruction: Turn left onto Robin Street, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Turn right, Distance: 335.3 meters, Time: 241.4 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
