Name: Rua Cinco, Instruction: Head northwest on Rua Cinco, Distance: 350.6 meters, Time: 252.4 seconds
Name: -, Instruction: Turn left, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 98.7 meters, Time: 71.0 seconds
Name: Rua A, Instruction: Turn left onto Rua A, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Keep left, Distance: 86.4 meters, Time: 62.2 seconds
Name: Rua Bulhões Marcial, Instruction: Turn left onto Rua Bulhões Marcial, Distance: 32.7 meters, Time: 23.5 seconds
Name: Rua São Bartolomeu, Instruction: Turn left onto Rua São Bartolomeu, Distance: 523.8 meters, Time: 377.1 seconds
Name: Rua Porto Príncipe, Instruction: Turn left onto Rua Porto Príncipe, Distance: 439.5 meters, Time: 316.5 seconds
Name: -, Instruction: Arrive at Rua Porto Príncipe, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
