Name: Boulevard Haussmann, Instruction: Head west on Boulevard Haussmann, Distance: 86.3 meters, Time: 62.1 seconds
Name: Rue de Berri, Instruction: Keep left onto Rue de Berri, Distance: 221.6 meters, Time: 159.5 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 349.8 meters, Time: 251.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 51.4 meters, Time: 37.0 seconds
Name: Promenade des Champs-Élysées, Instruction: Turn right onto Promenade des Champs-Élysées, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 139.1 meters, Time: 100.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 133.1 meters, Time: 95.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 202.3 meters, Time: 145.7 seconds
Name: -, Instruction: Turn slight left, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn slight left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn slight right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 67.3 meters, Time: 48.5 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
