Name: Govett Lane, Instruction: Head west on Govett Lane, Distance: 231.0 meters, Time: 166.3 seconds
Name: Govett Street, Instruction: Turn left onto Govett Street, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Turn left, Distance: 337.5 meters, Time: 243.0 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: Darley Road shared use path, Instruction: Turn left onto Darley Road shared use path, Distance: 16.5 meters, Time: 11.9 seconds
Name: Darley Road, Instruction: Turn right onto Darley Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Turn slight right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Keep left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 106.3 meters, Time: 76.6 seconds
Name: Alison Road Shared Path, Instruction: Turn right onto Alison Road Shared Path, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn left, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 151.7 meters, Time: 109.2 seconds
Name: -, Instruction: Continue straight, Distance: 260.5 meters, Time: 187.6 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
