Name: Ludwig-Hunger-Straße, Instruction: Head northeast on Ludwig-Hunger-Straße, Distance: 386.9 meters, Time: 278.6 seconds
Name: -, Instruction: Turn left, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Turn slight left, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 95.0 meters, Time: 68.4 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.7 seconds
Name: Blumenauer Steg, Instruction: Turn left onto Blumenauer Steg, Distance: 90.5 meters, Time: 65.1 seconds
Name: -, Instruction: Turn left, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Turn right, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Turn left, Distance: 210.2 meters, Time: 151.4 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Terofalstraße, Instruction: Turn left onto Terofalstraße, Distance: 214.3 meters, Time: 154.3 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
