Name: Adelaide Street East, Instruction: Head west on Adelaide Street East, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Keep right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight right, Distance: 317.7 meters, Time: 228.7 seconds
Name: -, Instruction: Turn right, Distance: 174.7 meters, Time: 125.8 seconds
Name: -, Instruction: Turn left, Distance: 60.2 meters, Time: 43.3 seconds
Name: Bay East Teamway, Instruction: Turn left onto Bay East Teamway, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
