Name: Drachenseestraße, Instruction: Head north on Drachenseestraße, Distance: 330.2 meters, Time: 237.8 seconds
Name: Ortlerstraße, Instruction: Turn right onto Ortlerstraße, Distance: 308.2 meters, Time: 221.9 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn left, Distance: 54.4 meters, Time: 39.1 seconds
Name: Margaretenplatz, Instruction: Turn left onto Margaretenplatz, Distance: 79.0 meters, Time: 56.8 seconds
Name: An der Stemmerwiese, Instruction: Turn right onto An der Stemmerwiese, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Continue straight, Distance: 31.8 meters, Time: 22.9 seconds
Name: Jägerwirtstraße, Instruction: Turn right onto Jägerwirtstraße, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Keep left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
