Name: Rue du Capitaine Dreyfus, Instruction: Head west on Rue du Capitaine Dreyfus, Distance: 61.9 meters, Time: 44.5 seconds
Name: Rue des Lumières, Instruction: Turn right onto Rue des Lumières, Distance: 179.2 meters, Time: 129.0 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 20.0 seconds
Name: Boulevard Rouget de Lisle, Instruction: Turn right onto Boulevard Rouget de Lisle, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 193.1 meters, Time: 139.0 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue Hoche, Instruction: Turn left onto Rue Hoche, Distance: 144.8 meters, Time: 104.3 seconds
Name: Rue de Villiers, Instruction: Turn right onto Rue de Villiers, Distance: 197.5 meters, Time: 142.2 seconds
Name: Avenue de la Résistance, Instruction: Keep right onto Avenue de la Résistance, Distance: 73.6 meters, Time: 53.0 seconds
Name: Rue des Clos Français, Instruction: Turn left onto Rue des Clos Français, Distance: 170.4 meters, Time: 122.7 seconds
Name: Rue Irène et Frédéric Joliot-Curie, Instruction: Turn right onto Rue Irène et Frédéric Joliot-Curie, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 66.2 meters, Time: 47.7 seconds
Name: Rue Eugénie Cotton, Instruction: Turn right onto Rue Eugénie Cotton, Distance: 13.9 meters, Time: 10.0 seconds
Name: Rue Eugénie Cotton, Instruction: Turn left onto Rue Eugénie Cotton, Distance: 14.7 meters, Time: 10.6 seconds
Name: Rue Eugénie Cotton, Instruction: Continue straight onto Rue Eugénie Cotton, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Keep right, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Keep left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Keep right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
