Name: Hertle Avenue, Instruction: Head north on Hertle Avenue, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 83.5 meters, Time: 60.1 seconds
Name: Billings Avenue, Instruction: Turn right onto Billings Avenue, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 474.4 meters, Time: 341.5 seconds
Name: -, Instruction: Keep right, Distance: 92.7 meters, Time: 66.7 seconds
Name: -, Instruction: Keep right, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Keep right, Distance: 725.0 meters, Time: 522.0 seconds
Name: Oakvale Avenue, Instruction: Turn left onto Oakvale Avenue, Distance: 143.1 meters, Time: 103.0 seconds
Name: Oakvale Path, Instruction: Turn right onto Oakvale Path, Distance: 7.7 meters, Time: 5.5 seconds
Name: Oakvale Path, Instruction: Turn slight left onto Oakvale Path, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep right, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Chatham Avenue, Instruction: Turn left onto Chatham Avenue, Distance: 48.5 meters, Time: 34.9 seconds
Name: Byron Avenue, Instruction: Turn right onto Byron Avenue, Distance: 100.9 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 153.9 meters, Time: 110.8 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
