Name: サンモール大塚商店街, Instruction: Head south on サンモール大塚商店街, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Keep left, Distance: 124.2 meters, Time: 89.4 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 297.5 meters, Time: 214.2 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
