Name: Carr Street Court, Instruction: Head east on Carr Street Court, Distance: 4.2 meters, Time: 3.0 seconds
Name: Denison Avenue, Instruction: Turn right onto Denison Avenue, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: Augusta Avenue, Instruction: Turn right onto Augusta Avenue, Distance: 70.6 meters, Time: 50.9 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Turn left, Distance: 291.9 meters, Time: 210.2 seconds
Name: -, Instruction: Turn right, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Turn left, Distance: 430.5 meters, Time: 310.0 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 132.6 meters, Time: 95.5 seconds
Name: -, Instruction: Turn right, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 157.3 meters, Time: 113.3 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Pearl Street, Instruction: Turn left onto Pearl Street, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 224.6 meters, Time: 161.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
