Name: Nautilus Drive, Instruction: Head north on Nautilus Drive, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.5 seconds
Name: Gulf Harbour Marina Path, Instruction: Turn left onto Gulf Harbour Marina Path, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 370.2 meters, Time: 266.5 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 380.2 meters, Time: 273.8 seconds
Name: -, Instruction: Turn slight right, Distance: 139.3 meters, Time: 100.3 seconds
Name: -, Instruction: Turn right, Distance: 181.7 meters, Time: 130.8 seconds
Name: -, Instruction: Turn left, Distance: 199.5 meters, Time: 143.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
