Name: شارع الشيخ احمد الصاوي, Instruction: Head east on شارع الشيخ احمد الصاوي, Distance: 233.2 meters, Time: 167.9 seconds
Name: شارع محمد المقريف, Instruction: Turn left onto شارع محمد المقريف, Distance: 308.0 meters, Time: 221.8 seconds
Name: شارع معز الدوله, Instruction: Turn right onto شارع معز الدوله, Distance: 9.2 meters, Time: 6.6 seconds
Name: شارع محمد المقريف, Instruction: Turn left onto شارع محمد المقريف, Distance: 84.8 meters, Time: 61.0 seconds
Name: شارع ابو داوود الظاهري, Instruction: Turn right onto شارع ابو داوود الظاهري, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: شارع ابو داوود الظاهري, Instruction: Turn slight left onto شارع ابو داوود الظاهري, Distance: 43.8 meters, Time: 31.5 seconds
Name: شارع محمد المقريف, Instruction: Turn right onto شارع محمد المقريف, Distance: 376.5 meters, Time: 271.1 seconds
Name: شارع جمال الدين عفيفي, Instruction: Turn right onto شارع جمال الدين عفيفي, Distance: 80.4 meters, Time: 57.9 seconds
Name: شارع حسن مأمون, Instruction: Turn right onto شارع حسن مأمون, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: شارع حسن مأمون, Instruction: Turn left onto شارع حسن مأمون, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 215.1 meters, Time: 154.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 65.9 meters, Time: 47.4 seconds
Name: شارع الكوثر, Instruction: Turn sharp right onto شارع الكوثر, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Arrive at شارع الكوثر, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
