Name: Euclid Avenue, Instruction: Head north on Euclid Avenue, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: Manning Avenue, Instruction: Turn right onto Manning Avenue, Distance: 314.8 meters, Time: 226.6 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn right, Distance: 344.0 meters, Time: 247.7 seconds
Name: -, Instruction: Turn slight right, Distance: 437.7 meters, Time: 315.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
