Name: Hewison Street, Instruction: Head southeast on Hewison Street, Distance: 113.5 meters, Time: 81.7 seconds
Name: Tredegar Road, Instruction: Turn right onto Tredegar Road, Distance: 31.9 meters, Time: 23.0 seconds
Name: Mostyn Grove, Instruction: Turn left onto Mostyn Grove, Distance: 207.8 meters, Time: 149.6 seconds
Name: Morville Street, Instruction: Turn left onto Morville Street, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Malmesbury Road, Instruction: Turn right onto Malmesbury Road, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: Whitton Walk, Instruction: Turn left onto Whitton Walk, Distance: 51.6 meters, Time: 37.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: Alfred Street, Instruction: Turn left onto Alfred Street, Distance: 119.6 meters, Time: 86.1 seconds
Name: -, Instruction: Turn right, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Keep left, Distance: 166.2 meters, Time: 119.6 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
