Name: Grosvenor Lane, Instruction: Head east on Grosvenor Lane, Distance: 120.7 meters, Time: 86.9 seconds
Name: -, Instruction: Turn right, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 231.1 meters, Time: 166.4 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 113.1 meters, Time: 81.4 seconds
Name: -, Instruction: Keep right, Distance: 153.0 meters, Time: 110.2 seconds
Name: Waverley Crescent, Instruction: Turn left onto Waverley Crescent, Distance: 109.8 meters, Time: 79.1 seconds
Name: Gowrie Avenue, Instruction: Turn right onto Gowrie Avenue, Distance: 120.3 meters, Time: 86.6 seconds
Name: Paul Street, Instruction: Turn right onto Paul Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: Woodstock Street, Instruction: Turn left onto Woodstock Street, Distance: 158.8 meters, Time: 114.3 seconds
Name: -, Instruction: Arrive at Woodstock Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
