Name: Rue Vercingétorix, Instruction: Head south on Rue Vercingétorix, Distance: 11.2 meters, Time: 8.0 seconds
Name: Rue Jules Guesde, Instruction: Continue straight onto Rue Jules Guesde, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: Rue Édouard Jacques, Instruction: Turn right onto Rue Édouard Jacques, Distance: 496.7 meters, Time: 357.6 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.1 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 214.9 meters, Time: 154.7 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 94.5 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 194.6 meters, Time: 140.1 seconds
Name: -, Instruction: Turn slight left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Keep left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn slight left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Turn slight right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 320.6 meters, Time: 230.8 seconds
Name: Rue Gambetta, Instruction: Turn left onto Rue Gambetta, Distance: 60.7 meters, Time: 43.7 seconds
Name: Rue Chauvelot, Instruction: Turn right onto Rue Chauvelot, Distance: 116.6 meters, Time: 83.9 seconds
Name: Rue Chauvelot, Instruction: Keep left onto Rue Chauvelot, Distance: 191.2 meters, Time: 137.7 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
