Name: Walpurgisstraße, Instruction: Head north on Walpurgisstraße, Distance: 190.1 meters, Time: 136.9 seconds
Name: Stuntzstraße, Instruction: Turn right onto Stuntzstraße, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn slight right, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn left, Distance: 39.6 meters, Time: 28.5 seconds
Name: Beblostraße, Instruction: Turn right onto Beblostraße, Distance: 106.4 meters, Time: 76.6 seconds
Name: Buschingstraße, Instruction: Turn right onto Buschingstraße, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Keep right, Distance: 62.3 meters, Time: 44.8 seconds
Name: -, Instruction: Turn left, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 272.6 meters, Time: 196.3 seconds
Name: -, Instruction: Turn slight left, Distance: 143.0 meters, Time: 103.0 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn right, Distance: 124.0 meters, Time: 89.3 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 243.9 meters, Time: 175.6 seconds
Name: Englschalkinger Straße, Instruction: Turn right onto Englschalkinger Straße, Distance: 246.3 meters, Time: 177.3 seconds
Name: -, Instruction: Turn left, Distance: 36.2 meters, Time: 26.0 seconds
Name: Englschalkinger Straße, Instruction: Turn right onto Englschalkinger Straße, Distance: 171.6 meters, Time: 123.6 seconds
Name: -, Instruction: Turn right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: Klingsorstraße, Instruction: Turn sharp right onto Klingsorstraße, Distance: 133.7 meters, Time: 96.3 seconds
Name: -, Instruction: Arrive at Klingsorstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
