Name: Reminder Lane, Instruction: Head southwest on Reminder Lane, Distance: 110.2 meters, Time: 79.3 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 80.6 meters, Time: 58.0 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Turn left, Distance: 100.1 meters, Time: 72.1 seconds
Name: -, Instruction: Turn right, Distance: 139.5 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 130.9 meters, Time: 94.2 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
