Name: Mark Street, Instruction: Head west on Mark Street, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 140.8 meters, Time: 101.4 seconds
Name: -, Instruction: Keep left, Distance: 66.0 meters, Time: 47.5 seconds
Name: -, Instruction: Keep left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Oak Street, Instruction: Turn left onto Oak Street, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 247.9 meters, Time: 178.5 seconds
Name: -, Instruction: Keep right, Distance: 2.7 meters, Time: 2.0 seconds
Name: River Street, Instruction: Turn left onto River Street, Distance: 33.5 meters, Time: 24.1 seconds
Name: River Street Trail, Instruction: Turn right onto River Street Trail, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Keep right, Distance: 61.5 meters, Time: 44.3 seconds
Name: Riverdale Park Crossing, Instruction: Turn left onto Riverdale Park Crossing, Distance: 12.7 meters, Time: 9.1 seconds
Name: Riverdale Park Crossing, Instruction: Keep right onto Riverdale Park Crossing, Distance: 215.3 meters, Time: 155.0 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Winchester Street, Instruction: Turn left onto Winchester Street, Distance: 214.8 meters, Time: 154.6 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 150.5 meters, Time: 108.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
