Name: Aklander Rise, Instruction: Head northeast on Aklander Rise, Distance: 484.7 meters, Time: 349.0 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 220.5 meters, Time: 158.7 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 117.4 meters, Time: 84.5 seconds
Name: Murphys Road, Instruction: Turn left onto Murphys Road, Distance: 164.8 meters, Time: 118.6 seconds
Name: Murphys Park Drive, Instruction: Turn right onto Murphys Park Drive, Distance: 476.1 meters, Time: 342.8 seconds
Name: Ngā Pona Toru Road, Instruction: Turn left onto Ngā Pona Toru Road, Distance: 67.0 meters, Time: 48.3 seconds
Name: Otereti Street, Instruction: Turn right onto Otereti Street, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
