Name: Fiveplay, Instruction: Head northeast on Fiveplay, Distance: 94.9 meters, Time: 68.4 seconds
Name: Sunnybrook Dog Park Service Road, Instruction: Turn right onto Sunnybrook Dog Park Service Road, Distance: 613.4 meters, Time: 441.7 seconds
Name: Veterans Hill Trail, Instruction: Turn slight right onto Veterans Hill Trail, Distance: 40.3 meters, Time: 29.0 seconds
Name: Raab Boulevard, Instruction: Turn slight left onto Raab Boulevard, Distance: 81.0 meters, Time: 58.3 seconds
Name: Raab Boulevard, Instruction: Continue straight onto Raab Boulevard, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 53.7 meters, Time: 38.7 seconds
Name: Parking Garage 1 Entry 2, Instruction: Turn slight left onto Parking Garage 1 Entry 2, Distance: 10.1 meters, Time: 7.3 seconds
Name: Hospital Road, Instruction: Turn slight right onto Hospital Road, Distance: 202.2 meters, Time: 145.5 seconds
Name: Wellness Way, Instruction: Turn left onto Wellness Way, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: Wellness Way, Instruction: Turn left onto Wellness Way, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 651.5 meters, Time: 469.1 seconds
Name: Blythwood Road, Instruction: Turn right onto Blythwood Road, Distance: 79.6 meters, Time: 57.3 seconds
Name: Blyth Hill Road, Instruction: Turn left onto Blyth Hill Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 273.1 meters, Time: 196.6 seconds
Name: Sherwood Park Trail, Instruction: Keep left onto Sherwood Park Trail, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn slight right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Continue straight, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
