Name: Calle Clavel, Instruction: Head west on Calle Clavel, Distance: 100.4 meters, Time: 72.3 seconds
Name: Calle Onofre Capeto, Instruction: Turn left onto Calle Onofre Capeto, Distance: 66.2 meters, Time: 47.6 seconds
Name: Calle Geranio, Instruction: Turn right onto Calle Geranio, Distance: 101.3 meters, Time: 73.0 seconds
Name: Calle Magdaleno Ita, Instruction: Turn left onto Calle Magdaleno Ita, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Continue straight, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 315.5 meters, Time: 227.1 seconds
Name: -, Instruction: Turn left, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 953.6 meters, Time: 686.6 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 117.4 meters, Time: 84.6 seconds
Name: -, Instruction: Keep right, Distance: 55.7 meters, Time: 40.1 seconds
Name: Avenida Canal de Chalco, Instruction: Continue straight onto Avenida Canal de Chalco, Distance: 584.0 meters, Time: 420.5 seconds
Name: -, Instruction: Arrive at Avenida Canal de Chalco, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
