Name: Rue Aristide Briand, Instruction: Head northeast on Rue Aristide Briand, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.7 seconds
Name: Rue Jean Jaurès, Instruction: Turn right onto Rue Jean Jaurès, Distance: 41.7 meters, Time: 30.0 seconds
Name: Rue de Bretagne, Instruction: Turn left onto Rue de Bretagne, Distance: 139.4 meters, Time: 100.3 seconds
Name: -, Instruction: Turn left, Distance: 209.6 meters, Time: 150.9 seconds
Name: Rue Pablo Neruda, Instruction: Turn right onto Rue Pablo Neruda, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 163.8 meters, Time: 117.9 seconds
Name: -, Instruction: Turn left, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Keep right, Distance: 225.9 meters, Time: 162.6 seconds
Name: -, Instruction: Turn slight right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 365.3 meters, Time: 263.0 seconds
Name: -, Instruction: Turn right, Distance: 113.8 meters, Time: 82.0 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 85.8 meters, Time: 61.8 seconds
Name: Rue Brémontier, Instruction: Enter the roundabout and take the 2nd exit onto Rue Brémontier, Distance: 198.4 meters, Time: 142.8 seconds
Name: Rue Jouffroy d'Abbans, Instruction: Turn right onto Rue Jouffroy d'Abbans, Distance: 62.1 meters, Time: 44.7 seconds
Name: Rue Meissonier, Instruction: Turn left onto Rue Meissonier, Distance: 142.5 meters, Time: 102.6 seconds
Name: Rue de Prony, Instruction: Turn left onto Rue de Prony, Distance: 127.0 meters, Time: 91.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 75.2 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
