Name: Rue Henri Barbusse, Instruction: Head northeast on Rue Henri Barbusse, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 14.8 meters, Time: 10.7 seconds
Name: Rue Pierre Nicole, Instruction: Turn slight left onto Rue Pierre Nicole, Distance: 380.4 meters, Time: 273.9 seconds
Name: Rue des Feuillantines, Instruction: Keep right onto Rue des Feuillantines, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 137.6 meters, Time: 99.0 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight left, Distance: 80.5 meters, Time: 57.9 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: Rue Saint-Jacques, Instruction: Turn left onto Rue Saint-Jacques, Distance: 26.1 meters, Time: 18.8 seconds
Name: Rue Saint-Jacques, Instruction: Keep right onto Rue Saint-Jacques, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn slight left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Keep left, Distance: 134.5 meters, Time: 96.8 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Keep right, Distance: 0.8 meters, Time: 0.5 seconds
Name: -, Instruction: Keep left, Distance: 226.9 meters, Time: 163.4 seconds
Name: -, Instruction: Keep right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Keep right, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Keep left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Keep left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Pont au Double, Instruction: Turn right onto Pont au Double, Distance: 46.8 meters, Time: 33.7 seconds
Name: Parvis Notre-Dame - Place Jean-Paul II, Instruction: Turn right onto Parvis Notre-Dame - Place Jean-Paul II, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.3 seconds
Name: Parvis Notre-Dame - Place Jean-Paul II, Instruction: Continue straight onto Parvis Notre-Dame - Place Jean-Paul II, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Continue straight, Distance: 295.5 meters, Time: 212.8 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Keep right, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
