Name: Hereford Street, Instruction: Head east on Hereford Street, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn right, Distance: 294.8 meters, Time: 212.3 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 165.9 meters, Time: 119.4 seconds
Name: -, Instruction: Keep left, Distance: 328.7 meters, Time: 236.7 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 97.2 meters, Time: 70.0 seconds
Name: River Road, Instruction: Turn right onto River Road, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at River Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
