Name: Avenida 5 de Mayo, Instruction: Head east on Avenida 5 de Mayo, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 161.0 meters, Time: 115.9 seconds
Name: -, Instruction: Turn left, Distance: 328.6 meters, Time: 236.6 seconds
Name: Ciclopista del Parque Bicentenario, Instruction: Turn left onto Ciclopista del Parque Bicentenario, Distance: 87.9 meters, Time: 63.3 seconds
Name: Ciclopista del Parque Bicentenario, Instruction: Turn right onto Ciclopista del Parque Bicentenario, Distance: 20.0 meters, Time: 14.4 seconds
Name: Sendero del Parque Bicentenario, Instruction: Turn left onto Sendero del Parque Bicentenario, Distance: 126.9 meters, Time: 91.4 seconds
Name: -, Instruction: Turn left, Distance: 71.9 meters, Time: 51.8 seconds
Name: Ciclopista del Parque Bicentenario, Instruction: Continue straight onto Ciclopista del Parque Bicentenario, Distance: 128.4 meters, Time: 92.5 seconds
Name: Sendero del Parque Bicentenario, Instruction: Turn right onto Sendero del Parque Bicentenario, Distance: 42.0 meters, Time: 30.2 seconds
Name: Sendero del Parque Bicentenario, Instruction: Turn left onto Sendero del Parque Bicentenario, Distance: 108.3 meters, Time: 78.0 seconds
Name: Sendero del Parque Bicentenario, Instruction: Keep left onto Sendero del Parque Bicentenario, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn slight right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn left, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
