Name: Beech Avenue, Instruction: Head north on Beech Avenue, Distance: 733.9 meters, Time: 528.4 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Balsam Avenue, Instruction: Turn right onto Balsam Avenue, Distance: 126.2 meters, Time: 90.9 seconds
Name: Balsam Avenue, Instruction: Turn left onto Balsam Avenue, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 166.8 meters, Time: 120.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 158.3 meters, Time: 114.0 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: Scarborough Road, Instruction: Turn left onto Scarborough Road, Distance: 85.6 meters, Time: 61.7 seconds
Name: Woodale Avenue, Instruction: Turn right onto Woodale Avenue, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at Woodale Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
