Name: Torquato-Tasso-Straße, Instruction: Head southwest on Torquato-Tasso-Straße, Distance: 42.8 meters, Time: 30.8 seconds
Name: Hans-Denzinger-Straße, Instruction: Turn right onto Hans-Denzinger-Straße, Distance: 131.3 meters, Time: 94.5 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 244.0 meters, Time: 175.6 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Keep left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Keep right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Keep right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn slight right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Frauenstädtstraße, Instruction: Turn slight right onto Frauenstädtstraße, Distance: 271.8 meters, Time: 195.7 seconds
Name: Nietzschestraße, Instruction: Turn slight right onto Nietzschestraße, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Kantstraße, Instruction: Turn left onto Kantstraße, Distance: 195.2 meters, Time: 140.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
