Name: شارع عبد الحميد الكاتب, Instruction: Head southeast on شارع عبد الحميد الكاتب, Distance: 126.6 meters, Time: 91.2 seconds
Name: شارع المتنبي, Instruction: Turn right onto شارع المتنبي, Distance: 191.5 meters, Time: 137.9 seconds
Name: شارع المتنبي, Instruction: Enter the roundabout and take the 1st exit onto شارع المتنبي, Distance: 59.5 meters, Time: 42.9 seconds
Name: شارع المتنبي, Instruction: Continue straight onto شارع المتنبي, Distance: 437.4 meters, Time: 314.9 seconds
Name: محور محمد فريد, Instruction: Turn right onto محور محمد فريد, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: محور محمد فريد, Instruction: Turn right onto محور محمد فريد, Distance: 47.3 meters, Time: 34.0 seconds
Name: محور محمد فريد, Instruction: Enter the roundabout and take the 3rd exit onto محور محمد فريد, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 106.6 meters, Time: 76.8 seconds
Name: شارع احمد عرابى, Instruction: Turn right onto شارع احمد عرابى, Distance: 337.8 meters, Time: 243.2 seconds
Name: -, Instruction: Turn right, Distance: 81.3 meters, Time: 58.5 seconds
Name: محور جمال عبد الناصر الجانبى, Instruction: Turn right onto محور جمال عبد الناصر الجانبى, Distance: 147.3 meters, Time: 106.1 seconds
Name: محور جمال عبد الناصر الجانبى, Instruction: Keep left onto محور جمال عبد الناصر الجانبى, Distance: 37.9 meters, Time: 27.3 seconds
Name: محور جمال عبد الناصر, Instruction: Turn left onto محور جمال عبد الناصر, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.4 seconds
Name: محور جمال عبد الناصر, Instruction: Turn left onto محور جمال عبد الناصر, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: محور جمال عبد الناصر الجانبى, Instruction: Turn left onto محور جمال عبد الناصر الجانبى, Distance: 95.6 meters, Time: 68.8 seconds
Name: -, Instruction: Keep right, Distance: 160.5 meters, Time: 115.5 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 280.3 meters, Time: 201.8 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.5 seconds
Name: -, Instruction: Turn right, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
