Name: Garfield Street, Instruction: Head west on Garfield Street, Distance: 108.3 meters, Time: 78.0 seconds
Name: Cheshire Street, Instruction: Turn left onto Cheshire Street, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Turn right, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 179.4 meters, Time: 129.2 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.0 seconds
Name: Domain Walk, Instruction: Turn slight left onto Domain Walk, Distance: 82.0 meters, Time: 59.1 seconds
Name: -, Instruction: Keep right, Distance: 201.7 meters, Time: 145.2 seconds
Name: -, Instruction: Turn right, Distance: 276.6 meters, Time: 199.1 seconds
Name: Pukekawa Centennial Glade Path, Instruction: Turn right onto Pukekawa Centennial Glade Path, Distance: 4.4 meters, Time: 3.2 seconds
Name: Domain Drive, Instruction: Turn left onto Domain Drive, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn left, Distance: 349.7 meters, Time: 251.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
