Name: Boy de Goede Circle, Instruction: Head south on Boy de Goede Circle, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 842.5 meters, Time: 606.6 seconds
Name: -, Instruction: Turn right, Distance: 229.0 meters, Time: 164.9 seconds
Name: -, Instruction: Turn right, Distance: 389.8 meters, Time: 280.6 seconds
Name: Wood Drive, Instruction: Turn slight right onto Wood Drive, Distance: 6.7 meters, Time: 4.8 seconds
Name: Merlot Avenue, Instruction: Turn left onto Merlot Avenue, Distance: 367.4 meters, Time: 264.5 seconds
Name: -, Instruction: Turn right, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn slight right, Distance: 71.1 meters, Time: 51.2 seconds
Name: Cognac Road, Instruction: Turn left onto Cognac Road, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Keep left, Distance: 98.0 meters, Time: 70.6 seconds
Name: -, Instruction: Keep left, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: Leeuwenhof Crescent, Instruction: Turn left onto Leeuwenhof Crescent, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at Leeuwenhof Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
