Name: Ploughmans Crescent, Instruction: Head west on Ploughmans Crescent, Distance: 62.3 meters, Time: 44.9 seconds
Name: Summer Greens Drive, Instruction: Turn sharp right onto Summer Greens Drive, Distance: 241.8 meters, Time: 174.1 seconds
Name: Summer Greens Drive, Instruction: Keep right onto Summer Greens Drive, Distance: 13.6 meters, Time: 9.8 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 3rd exit onto Summer Greens Drive, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 103.0 meters, Time: 74.1 seconds
Name: Summer Greens Drive, Instruction: Turn right onto Summer Greens Drive, Distance: 21.5 meters, Time: 15.5 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 1st exit onto Summer Greens Drive, Distance: 181.7 meters, Time: 130.8 seconds
Name: Summer Greens Drive, Instruction: Keep left onto Summer Greens Drive, Distance: 335.2 meters, Time: 241.3 seconds
Name: Summer Greens Drive, Instruction: Keep right onto Summer Greens Drive, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: Century Avenue, Instruction: Turn right onto Century Avenue, Distance: 100.4 meters, Time: 72.3 seconds
Name: Edison Way, Instruction: Enter the roundabout and take the 1st exit onto Edison Way, Distance: 58.8 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
