Name: Leinthalerstraße, Instruction: Head northwest on Leinthalerstraße, Distance: 248.9 meters, Time: 179.2 seconds
Name: Libellenstraße, Instruction: Turn right onto Libellenstraße, Distance: 510.7 meters, Time: 367.7 seconds
Name: Floriansmühlstraße, Instruction: Turn left onto Floriansmühlstraße, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 453.5 meters, Time: 326.5 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.8 seconds
Name: Gondershauser Straße, Instruction: Turn right onto Gondershauser Straße, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Arrive at Gondershauser Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
