Name: Lustheimstraße, Instruction: Head northeast on Lustheimstraße, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: Badenburgstraße, Instruction: Turn right onto Badenburgstraße, Distance: 90.3 meters, Time: 65.0 seconds
Name: Badenburgstraße, Instruction: Continue straight onto Badenburgstraße, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Keep left, Distance: 153.6 meters, Time: 110.6 seconds
Name: -, Instruction: Keep right, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Keep left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Keep left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 77.2 meters, Time: 55.6 seconds
Name: Schragenhofstraße, Instruction: Turn right onto Schragenhofstraße, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at Schragenhofstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
