Name: Kallang Sector, Instruction: Head southeast on Kallang Sector, Distance: 249.8 meters, Time: 179.9 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: Kallang Way, Instruction: Turn right onto Kallang Way, Distance: 351.6 meters, Time: 253.2 seconds
Name: -, Instruction: Turn left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Keep right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: Kallang Way, Instruction: Turn left onto Kallang Way, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 356.9 meters, Time: 257.0 seconds
Name: -, Instruction: Turn right, Distance: 212.0 meters, Time: 152.6 seconds
Name: Pelton Canal Park Connector, Instruction: Turn sharp left onto Pelton Canal Park Connector, Distance: 239.4 meters, Time: 172.4 seconds
Name: -, Instruction: Turn right, Distance: 255.7 meters, Time: 184.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Turn left, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: Pipit Road, Instruction: Turn right onto Pipit Road, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
