Name: Teck Lim Road, Instruction: Head southeast on Teck Lim Road, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 107.6 meters, Time: 77.5 seconds
Name: Keong Saik Road, Instruction: Turn left onto Keong Saik Road, Distance: 36.5 meters, Time: 26.3 seconds
Name: Craig Road, Instruction: Keep right onto Craig Road, Distance: 288.7 meters, Time: 207.8 seconds
Name: Tanjong Pagar Road, Instruction: Turn right onto Tanjong Pagar Road, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 71.3 meters, Time: 51.4 seconds
Name: -, Instruction: Keep left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn slight right, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Keep right, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
