Name: شارع الشهيدة فريدة داوود, Instruction: Head south on شارع الشهيدة فريدة داوود, Distance: 9.6 meters, Time: 6.9 seconds
Name: شارع محمود مختار, Instruction: Turn left onto شارع محمود مختار, Distance: 170.5 meters, Time: 122.8 seconds
Name: شارع محمود مختار, Instruction: Continue straight onto شارع محمود مختار, Distance: 344.5 meters, Time: 248.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Keep right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 258.0 meters, Time: 185.7 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 501.8 meters, Time: 361.3 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 84.1 meters, Time: 60.5 seconds
Name: -, Instruction: Turn right, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
