Name: Holland Road, A3220, Instruction: Head northwest on Holland Road, A3220, Distance: 4.7 meters, Time: 3.4 seconds
Name: Lower Addison Gardens, Instruction: Turn left onto Lower Addison Gardens, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 414.4 meters, Time: 298.4 seconds
Name: Shepherds Bush Green, Instruction: Turn right onto Shepherds Bush Green, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Keep left, Distance: 1.5 meters, Time: 1.0 seconds
Name: Uxbridge Road, Instruction: Turn left onto Uxbridge Road, Distance: 392.4 meters, Time: 282.5 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: Wood Lane, Instruction: Turn left onto Wood Lane, Distance: 170.5 meters, Time: 122.8 seconds
Name: Frithville Gardens, Instruction: Turn right onto Frithville Gardens, Distance: 358.7 meters, Time: 258.3 seconds
Name: -, Instruction: Continue straight, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Keep left, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: South Africa Road, Instruction: Turn left onto South Africa Road, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: Australia Road, Instruction: Turn left onto Australia Road, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Arrive at Australia Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
