Name: Rue Laugier, Instruction: Head southeast on Rue Laugier, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 298.0 meters, Time: 214.6 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn slight left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Keep left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight right, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn slight left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
