Name: Route du Fort de Gravelle, Instruction: Head southeast on Route du Fort de Gravelle, Distance: 64.1 meters, Time: 46.2 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Keep left, Distance: 179.0 meters, Time: 128.9 seconds
Name: -, Instruction: Turn left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 205.5 meters, Time: 148.0 seconds
Name: -, Instruction: Turn right, Distance: 215.3 meters, Time: 155.0 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: Route de la Pyramide, Instruction: Turn left onto Route de la Pyramide, Distance: 228.7 meters, Time: 164.7 seconds
Name: Avenue des Canadiens, Instruction: Continue straight onto Avenue des Canadiens, Distance: 105.9 meters, Time: 76.3 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
