Name: West Riding Village Five Complex, Instruction: Head east on West Riding Village Five Complex, Distance: 54.5 meters, Time: 39.2 seconds
Name: Palomino Road, Instruction: Turn left onto Palomino Road, Distance: 49.9 meters, Time: 35.9 seconds
Name: Palomino Road, Instruction: Turn left onto Palomino Road, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 260.8 meters, Time: 187.8 seconds
Name: Bay Way, Instruction: Turn slight left onto Bay Way, Distance: 272.1 meters, Time: 195.9 seconds
Name: Circle Road, Instruction: Turn right onto Circle Road, Distance: 51.1 meters, Time: 36.8 seconds
Name: Chestnut Road, Instruction: Turn left onto Chestnut Road, Distance: 75.6 meters, Time: 54.4 seconds
Name: Wood Drive, Instruction: Turn right onto Wood Drive, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 332.0 meters, Time: 239.0 seconds
Name: -, Instruction: Turn right, Distance: 306.0 meters, Time: 220.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 119.1 meters, Time: 85.7 seconds
Name: Janssens Avenue, Instruction: Turn left onto Janssens Avenue, Distance: 18.3 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn slight right, Distance: 71.1 meters, Time: 51.2 seconds
Name: Cognac Road, Instruction: Turn left onto Cognac Road, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Keep left, Distance: 98.0 meters, Time: 70.6 seconds
Name: -, Instruction: Keep left, Distance: 358.4 meters, Time: 258.0 seconds
Name: -, Instruction: Turn right, Distance: 66.0 meters, Time: 47.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
