Name: Mandai Link, Instruction: Head south on Mandai Link, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn left, Distance: 267.5 meters, Time: 192.6 seconds
Name: -, Instruction: Turn right, Distance: 65.8 meters, Time: 47.3 seconds
Name: -, Instruction: Continue straight, Distance: 56.1 meters, Time: 40.4 seconds
Name: Rail Corridor, Instruction: Turn right onto Rail Corridor, Distance: 1104.6 meters, Time: 795.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.5 meters, Time: 3.9 seconds
Name: Woodlands Road, Instruction: Turn sharp left onto Woodlands Road, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at Woodlands Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
