Name: Rue de Penthièvre, Instruction: Head east on Rue de Penthièvre, Distance: 57.3 meters, Time: 41.2 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue Cambacérès, Instruction: Turn right onto Rue Cambacérès, Distance: 137.3 meters, Time: 98.8 seconds
Name: Place des Saussaies, Instruction: Continue straight onto Place des Saussaies, Distance: 33.5 meters, Time: 24.1 seconds
Name: Rue de Surène, Instruction: Turn slight left onto Rue de Surène, Distance: 338.6 meters, Time: 243.8 seconds
Name: -, Instruction: Turn right, Distance: 183.8 meters, Time: 132.4 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Keep left, Distance: 174.4 meters, Time: 125.6 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 117.9 meters, Time: 84.9 seconds
Name: -, Instruction: Turn left, Distance: 108.0 meters, Time: 77.8 seconds
Name: Place de la Concorde, Instruction: Turn right onto Place de la Concorde, Distance: 112.5 meters, Time: 81.0 seconds
Name: Place de la Concorde, Instruction: Turn left onto Place de la Concorde, Distance: 74.3 meters, Time: 53.5 seconds
Name: Place de la Concorde, Instruction: Turn right onto Place de la Concorde, Distance: 38.5 meters, Time: 27.7 seconds
Name: Quai des Tuileries, Instruction: Turn left onto Quai des Tuileries, Distance: 7.2 meters, Time: 5.2 seconds
Name: Quai des Tuileries, Instruction: Turn right onto Quai des Tuileries, Distance: 297.4 meters, Time: 214.1 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Passerelle Léopold-Sédar-Senghor, Instruction: Turn right onto Passerelle Léopold-Sédar-Senghor, Distance: 3.7 meters, Time: 2.7 seconds
Name: Passerelle Léopold-Sédar-Senghor, Instruction: Keep right onto Passerelle Léopold-Sédar-Senghor, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn left, Distance: 199.2 meters, Time: 143.4 seconds
Name: -, Instruction: Keep right, Distance: 113.0 meters, Time: 81.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
