Name: Rue Abel Rabaud, Instruction: Head southwest on Rue Abel Rabaud, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 131.9 meters, Time: 94.9 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: Rue du Faubourg du Temple, Instruction: Turn left onto Rue du Faubourg du Temple, Distance: 125.5 meters, Time: 90.4 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue du Faubourg du Temple, Instruction: Turn sharp left onto Rue du Faubourg du Temple, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn slight left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 224.7 meters, Time: 161.8 seconds
Name: -, Instruction: Turn slight right, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Keep right, Distance: 63.4 meters, Time: 45.7 seconds
Name: -, Instruction: Keep left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 104.7 meters, Time: 75.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
